page,index_on_page,filename,bytes,extension,sha256,is_duplicate,first_seen_as
25,3,page_025/2026SS_p025_003.png,730341,png,6f4ba7b5262ec5cb5375248089585b2a7dd7668a4d4f4a85957df1054ac3eba3,no,
25,4,page_025/2026SS_p025_004.jpg,2163,jpg,03a4d711d00dfd5d4ab05a0e1d03f12ef6b9dcb68edae163d8f6d578b00a6adc,no,
25,5,page_025/2026SS_p025_005.jp2,32748,jp2,ca1b1c1ad4c73473cfc359dac2c585eb3b3201333addae3fcbf7d96f96bcd7cf,no,
25,6,page_025/2026SS_p025_006.jp2,52705,jp2,141b384f9eb86ba4807c3a621f02cfcf4e6b6d294064cd44aa6e97510ba501b1,no,
25,7,page_025/2026SS_p025_007.jpg,6897,jpg,9d8d86efd9c6daf93880fd1c319f6327ef3cbe994854cedce445722cfbe1f52e,no,
25,8,page_025/2026SS_p025_008.jpg,4301,jpg,232f13c15873179df4dd9294a25b47adaea16b5e48558232fc9a0f9dddf99976,no,
25,9,page_025/2026SS_p025_009.jp2,49764,jp2,14378b1c93c06f14df0ebd4652e16400d66154474b830720ccc2051f00fe5c11,no,
25,10,page_025/2026SS_p025_010.jpg,7161,jpg,250057df9d4476d32759c0cb369cb31d8e10fa4eaf7cf0e7087a394b43183bee,no,
25,11,page_025/2026SS_p025_011.jpg,2697,jpg,a507a65796cad652be6735344d146047cd43c16ed6069776f5d3f1139d138782,no,
25,12,page_025/2026SS_p025_012.jpg,2600,jpg,376532f4562857c267482fd4521660df1b507fc609d6ac9fef1f538de2042e24,no,
